Title,location,Price
"
        5bdrm House in East Legon Ajinganor for Rent
    ","
            East Legon
        ","
        17,500
    "
"
        6bdrm Mansion in Adjiringanor, East Legon for Rent
    ","
            East Legon
        ","
        20,160
    "
"
        4bdrm Apartment in Hamza Estates, American House for Rent
    ","
            East Legon, American House
        ","
        4,835
    "
"
        2bdrm Apartment in Adom Agency, Teshie for Rent
    ","
            Teshie
        ","
        1,500
    "
"
        2bdrm Apartment in Voltic, Ashomang Estate for Rent
    ","
            Ashomang Estate
        ","
        1,000
    "
"
        2bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        2,000
    "
"
        3bdrm Apartment in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        6,875
    "
"
        5 Bedroom Mansion With a Pool BQ at Cantoment 4 Rent or Sale
    ","
            Cantonments
        ","
        17,400
    "
"
        4bdrm Duplex in Ma Developments, West Legon for Rent
    ","
            West Legon
        ","
        8,130
    "
"
        Executive 4 Bedroom House To Let At Ajiringanor
    ","
            East Legon
        ","
        5,500
    "
"
        4bdrm Mansion in East Legon for Rent
    ","
            East Legon
        ","
        9,440
    "
"
        3bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        6,175
    "
"
        3bdrm Apartment in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        6,750
    "
"
        Furnished 2bdrm Apartment in Delight Agency, Dworwulu for Rent
    ","
            Dworwulu
        ","
        5,880
    "
"
        4bdrm House in Rosgy Properties Ltd, East Legon for Rent
    ","
            East Legon
        ","
        4,500
    "
"
        2bdrm Apartment in Main Men Properties, Teshie for Rent
    ","
            Teshie
        ","
        1,000
    "
"
        2bdrm House in Main Men Properties, Teshie for Rent
    ","
            Teshie
        ","
        1,000
    "
"
        5bdrm Duplex in Living Large, East Legon for Rent
    ","
            East Legon
        ","
        18,000
    "
"
        3bdrm Apartment in King Josh Estates, Spintex for Rent
    ","
            Spintex
        ","
        2,500
    "
"
        Furnished 4bdrm Duplex in Trassaco, East Legon for Rent
    ","
            East Legon
        ","
        24,000
    "
"
        3bdrm Duplex in Nana Williams, Bawaleshie for Rent
    ","
            East Legon, Bawaleshie
        ","
        12,500
    "
"
        4bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        18,900
    "
"
        Executive 6bdrm Mansion Wt Pool N BQ for Rent at Cantoments
    ","
            Cantonments
        ","
        46,400
    "
"
        3bdrm House in Oyarifa for Rent
    ","
            Oyarifa
        ","
        2,200
    "
"
        3bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        2,200
    "
"
        4 Bedrooms Ensuit Villa at Airport Residential for Rent +Pool
    ","
            Airport Residential Area
        ","
        35,400
    "
"
        4bdrm Mansion in Excel-Fame Consult, East Legon for Rent
    ","
            East Legon
        ","
        21,000
    "
"
        3bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        2,600
    "
"
        4bdrm Townhouse in Excel-Fame Consult, Cantonments for Rent
    ","
            Cantonments
        ","
        24,000
    "
"
        Exquisite 5 Bedroom Mansion Wt Bq and Pool 4rent at Cantoment
    ","
            Cantonments
        ","
        26,100
    "
"
        3bdrm Apartment in New England, Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        6,000
    "
"
        5bdrm House in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        24,000
    "
"
        Furnished 2bdrm Apartment in East Legon Hills for Rent
    ","
            East Legon
        ","
        14,714
    "
"
        4bdrm Townhouse/Terrace in East Airport/Tseaddo for Rent
    ","
            Airport Residential Area
        ","
        9,000
    "
"
        Furnished 1bdrm Apartment in Hostel, Dome for Rent
    ","
            Dome
        ","
        700
    "
"
        2bdrm Apartment in Ayathar Bedroom, New Town for Rent
    ","
            Teshie, Teshie New Town
        ","
        1,800
    "
"
        3bdrm Apartment in South Shiashie for Rent
    ","
            South Shiashie
        ","
        5,400
    "
"
        FURNISD APARTMENT 3 AND 4 BEDRMS  WITH POOL FOR RENT AT EAST LEGON
    ","
            Agbogbloshie
        ","
        9,600
    "
"
        4bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        18,000
    "
"
        3bdrm Apartment in Ben Properties, Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        1,300
    "
"
        Executive 4 Bed House to Let at Ajiriganor
    ","
            East Legon
        ","
        4,000
    "
"
        3 Bedrooms Apartment at Old Ashongman Ablajei
    ","
            Ga East Municipal
        ","
        2,000
    "
"
        3bdrm Apartment in Community 8, Adenta for Rent
    ","
            Adenta
        ","
        2,000
    "
"
        3bdrm Apartment in Ofankor Barrier -, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        1,500
    "
"
        Executive 4 Bedroom House to Let at Botwe Very Cool Area
    ","
            East Legon
        ","
        3,000
    "
"
        Executive Newly Built 6bdrm Self Compound 4rent at East Legon
    ","
            East Legon
        ","
        11,600
    "
"
        2bdrm Apartment in Living Large, East Legon for Rent
    ","
            East Legon
        ","
        4,500
    "
